GlobalTracer.FirstPowerUp_Info: Sat Mar 24 11:09:37 PDT 2018: ***** Starting autonomous *****
GlobalTracer.FirstPowerUp_Info: WASNO_Qualification_  1 (Blue3) [FMSConnected=true]
GlobalTracer.CmdAutoSwitch_Info: alliance=Blue, gameSpecificMsg=RLR, delay=0.000, fwdDistance=60, startPosition=102.0, flipInFlight=true
GlobalTracer.Vision_Info: Pixy is enabled!
GlobalTracer.Robot_Info: [1.014]   DO_DELAY: xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=12.7(12.7)
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (1.104s)

GlobalTracer.Robot_Info: [1.100] DRIVE_FORWARD_DISTANCE: xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=12.7(12.7)
GlobalTracer.printPidInfo_Info: [1.100] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.7(12.7)
GlobalTracer.printPidInfo_Info: [1.100] encoderYPidCtrl: Target=-129.0, Input=   0.0, Error=-129.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.600/0.600), Volt=12.7(12.7)
GlobalTracer.printPidInfo_Info: [1.100] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.7(12.7)
GlobalTracer.SonarTrigger_Info: [1.209] prevZone=-1, currZone=1, distance=136.23
GlobalTracer.printPidInfo_Info: [1.209] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=11.1(11.1)
GlobalTracer.printPidInfo_Info: [1.209] encoderYPidCtrl: Target=-129.0, Input=   0.0, Error=-129.0, PIDTerms=-3.870/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=11.1(11.1)
GlobalTracer.printPidInfo_Info: [1.209] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=11.1(11.1)
GlobalTracer.printPidInfo_Info: [1.252] encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.006/ 0.000/ 0.010/ 0.000, Output= 0.016(-0.700/0.700), Volt=10.8(10.8)
GlobalTracer.printPidInfo_Info: [1.252] encoderYPidCtrl: Target=-129.0, Input=  -0.5, Error=-128.5, PIDTerms=-3.856/ 0.000/ 0.007/-0.000, Output=-0.600(-0.600/0.600), Volt=10.9(10.8)
GlobalTracer.printPidInfo_Info: [1.252] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.9(10.8)
GlobalTracer.printPidInfo_Info: [1.316] encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.021/ 0.000/ 0.022/ 0.000, Output= 0.043(-0.700/0.700), Volt=10.9(10.8)
GlobalTracer.printPidInfo_Info: [1.316] encoderYPidCtrl: Target=-129.0, Input=  -1.2, Error=-127.8, PIDTerms=-3.835/ 0.000/ 0.010/-0.000, Output=-0.600(-0.600/0.600), Volt=10.9(10.8)
GlobalTracer.printPidInfo_Info: [1.316] gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.001/ 0.000/ 0.001/ 0.000, Output= 0.002(-0.700/0.700), Volt=10.9(10.8)
GlobalTracer.printPidInfo_Info: [1.376] encoderXPidCtrl: Target=   0.0, Input=  -0.7, Error=   0.7, PIDTerms= 0.106/ 0.000/ 0.136/ 0.000, Output= 0.242(-0.700/0.700), Volt=10.7(10.8)
GlobalTracer.printPidInfo_Info: [1.376] encoderYPidCtrl: Target=-129.0, Input=  -4.1, Error=-124.9, PIDTerms=-3.748/ 0.000/ 0.047/-0.000, Output=-0.600(-0.600/0.600), Volt=10.7(10.8)
GlobalTracer.printPidInfo_Info: [1.376] gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.004/ 0.000/ 0.004/ 0.000, Output= 0.008(-0.700/0.700), Volt=10.9(10.8)
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.174s)

GlobalTracer.printPidInfo_Info: [1.552] encoderXPidCtrl: Target=   0.0, Input=  -0.9, Error=   0.9, PIDTerms= 0.140/ 0.000/ 0.028/ 0.000, Output= 0.167(-0.700/0.700), Volt=11.2(10.8)
GlobalTracer.printPidInfo_Info: [1.552] encoderYPidCtrl: Target=-129.0, Input=  -6.5, Error=-122.5, PIDTerms=-3.676/ 0.000/ 0.019/-0.000, Output=-0.600(-0.600/0.600), Volt=11.2(10.8)
GlobalTracer.printPidInfo_Info: [1.552] gyroTurnPidCtrl: Target=   0.0, Input=  -0.7, Error=   0.7, PIDTerms= 0.009/ 0.000/ 0.003/ 0.000, Output= 0.012(-0.700/0.700), Volt=11.2(10.8)
GlobalTracer.printPidInfo_Info: [1.644] encoderXPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.051/ 0.000/-0.062/ 0.000, Output=-0.011(-0.700/0.700), Volt=11.4(10.8)
GlobalTracer.printPidInfo_Info: [1.644] encoderYPidCtrl: Target=-129.0, Input= -15.7, Error=-113.3, PIDTerms=-3.400/ 0.000/ 0.064/-0.000, Output=-0.600(-0.600/0.600), Volt=11.4(10.8)
GlobalTracer.printPidInfo_Info: [1.644] gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.002/ 0.000/-0.004/ 0.000, Output=-0.002(-0.700/0.700), Volt=11.4(10.8)
GlobalTracer.printPidInfo_Info: [1.729] encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.005/ 0.000/-0.067/ 0.000, Output=-0.062(-0.700/0.700), Volt=11.5(10.8)
GlobalTracer.printPidInfo_Info: [1.729] encoderYPidCtrl: Target=-129.0, Input= -20.7, Error=-108.3, PIDTerms=-3.248/ 0.000/ 0.074/-0.000, Output=-0.600(-0.600/0.600), Volt=11.5(10.8)
GlobalTracer.printPidInfo_Info: [1.729] gyroTurnPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.003/ 0.000/-0.006/ 0.000, Output=-0.009(-0.700/0.700), Volt=11.5(10.8)
GlobalTracer.printPidInfo_Info: [1.819] encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.016/ 0.000/ 0.011/ 0.000, Output= 0.027(-0.700/0.700), Volt=11.7(10.8)
GlobalTracer.printPidInfo_Info: [1.819] encoderYPidCtrl: Target=-129.0, Input= -26.3, Error=-102.7, PIDTerms=-3.080/ 0.000/ 0.055/-0.000, Output=-0.600(-0.600/0.600), Volt=11.7(10.8)
GlobalTracer.printPidInfo_Info: [1.819] gyroTurnPidCtrl: Target=   0.0, Input=   0.5, Error=  -0.5, PIDTerms=-0.006/ 0.000/-0.002/ 0.000, Output=-0.008(-0.700/0.700), Volt=11.7(10.8)
GlobalTracer.printPidInfo_Info: [1.908] encoderXPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.049/ 0.000/ 0.052/ 0.000, Output= 0.100(-0.700/0.700), Volt=11.7(10.8)
GlobalTracer.printPidInfo_Info: [1.908] encoderYPidCtrl: Target=-129.0, Input= -34.0, Error= -95.0, PIDTerms=-2.850/ 0.000/ 0.121/-0.000, Output=-0.600(-0.600/0.600), Volt=11.7(10.8)
GlobalTracer.printPidInfo_Info: [1.908] gyroTurnPidCtrl: Target=   0.0, Input=   0.7, Error=  -0.7, PIDTerms=-0.008/ 0.000/-0.003/ 0.000, Output=-0.011(-0.700/0.700), Volt=11.7(10.8)
GlobalTracer.printPidInfo_Info: [1.998] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.061/ 0.000/ 0.012/ 0.000, Output= 0.073(-0.700/0.700), Volt=11.8(10.8)
GlobalTracer.printPidInfo_Info: [1.998] encoderYPidCtrl: Target=-129.0, Input= -40.5, Error= -88.5, PIDTerms=-2.656/ 0.000/ 0.061/-0.000, Output=-0.600(-0.600/0.600), Volt=11.7(10.8)
