GlobalTracer.FirstPowerUp_Info: Thu Apr 05 15:06:17 PDT 2018[0.057]: ***** AUTO_MODE *****
GlobalTracer.Vision_Info: Pixy is enabled!
GlobalTracer.FirstPowerUp_Info: _None000 (Blue3) [FMSConnected=true] msg=LRL
GlobalTracer.CmdAutoSwitch_Info: [0.126] delay=0.0, fwdDistance=235.0, startPos=RIGHT_POS, fastDelivery=false, getSecondCube=false
GlobalTracer.CmdAutoSwitch_Info: alliance=Blue, gameSpecificMsg=LRL, delay=0.000, fwdDistance=235, startPosition=RIGHT_POS, flipInFlight=false
GlobalTracer.Robot_Info: [0.159] <<<DRIVE_FORWARD_DISTANCE>>> xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=12.8(12.8)
GlobalTracer.printPidInfo_Info: [0.159] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.8(12.8)
GlobalTracer.printPidInfo_Info: [0.159] encoderYPidCtrl: Target=-235.0, Input=   0.0, Error=-235.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.600/0.600), Volt=12.7(12.8)
GlobalTracer.printPidInfo_Info: [0.159] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.7(12.8)
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.239s)
GlobalTracer.printPidInfo_Info: [0.239] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=11.5(12.8)
GlobalTracer.printPidInfo_Info: [0.239] encoderYPidCtrl: Target=-235.0, Input=   0.0, Error=-235.0, PIDTerms=-4.700/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=11.5(12.8)
GlobalTracer.printPidInfo_Info: [0.239] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=11.5(12.8)
GlobalTracer.printPidInfo_Info: [0.265] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=11.1(11.5)
GlobalTracer.printPidInfo_Info: [0.265] encoderYPidCtrl: Target=-235.0, Input=   0.0, Error=-235.0, PIDTerms=-4.700/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=11.1(11.5)
GlobalTracer.printPidInfo_Info: [0.265] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=11.1(11.5)
GlobalTracer.printPidInfo_Info: [0.300] encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.006/ 0.000/ 0.011/ 0.000, Output= 0.017(-0.700/0.700), Volt=10.7(10.7)
GlobalTracer.printPidInfo_Info: [0.300] encoderYPidCtrl: Target=-235.0, Input=  -0.2, Error=-234.8, PIDTerms=-4.695/ 0.000/ 0.012/-0.000, Output=-0.600(-0.600/0.600), Volt=10.7(10.7)
GlobalTracer.printPidInfo_Info: [0.300] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.7(10.7)
GlobalTracer.printPidInfo_Info: [0.336] encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.028/ 0.000/ 0.044/ 0.000, Output= 0.072(-0.700/0.700), Volt=10.8(10.7)
GlobalTracer.printPidInfo_Info: [0.336] encoderYPidCtrl: Target=-235.0, Input=  -0.6, Error=-234.4, PIDTerms=-4.688/ 0.000/ 0.017/-0.000, Output=-0.600(-0.600/0.600), Volt=10.5(10.7)
GlobalTracer.printPidInfo_Info: [0.336] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.000/ 0.000/-0.001/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.5(10.7)
GlobalTracer.printPidInfo_Info: [0.376] encoderXPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.053/ 0.000/ 0.038/ 0.000, Output= 0.091(-0.700/0.700), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.376] encoderYPidCtrl: Target=-235.0, Input=  -0.8, Error=-234.2, PIDTerms=-4.683/ 0.000/ 0.010/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.376] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.000/ 0.000/ 0.000/ 0.000, Output=-0.000(-0.700/0.700), Volt=10.3(10.1)
GlobalTracer.printPidInfo_Info: [0.407] encoderXPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.052/ 0.000/-0.002/ 0.000, Output= 0.050(-0.700/0.700), Volt=10.5(10.1)
GlobalTracer.printPidInfo_Info: [0.407] encoderYPidCtrl: Target=-235.0, Input=  -0.9, Error=-234.1, PIDTerms=-4.682/ 0.000/ 0.002/-0.000, Output=-0.600(-0.600/0.600), Volt=10.5(10.1)
GlobalTracer.printPidInfo_Info: [0.407] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/-0.001/ 0.000, Output=-0.002(-0.700/0.700), Volt=10.5(10.1)
GlobalTracer.printPidInfo_Info: [0.446] encoderXPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.044/ 0.000/-0.013/ 0.000, Output= 0.031(-0.700/0.700), Volt=10.5(10.1)
GlobalTracer.printPidInfo_Info: [0.446] encoderYPidCtrl: Target=-235.0, Input=  -1.0, Error=-234.0, PIDTerms=-4.681/ 0.000/ 0.003/-0.000, Output=-0.600(-0.600/0.600), Volt=10.5(10.1)
GlobalTracer.printPidInfo_Info: [0.446] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.2(10.1)
GlobalTracer.printPidInfo_Info: [0.485] encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.012/ 0.000/-0.049/ 0.000, Output=-0.037(-0.700/0.700), Volt=10.4(10.1)
GlobalTracer.printPidInfo_Info: [0.485] encoderYPidCtrl: Target=-235.0, Input=  -1.2, Error=-233.8, PIDTerms=-4.676/ 0.000/ 0.010/-0.000, Output=-0.600(-0.600/0.600), Volt=10.4(10.1)
GlobalTracer.printPidInfo_Info: [0.485] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.4(10.1)
GlobalTracer.printPidInfo_Info: [0.542] encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.011/ 0.000/-0.001/ 0.000, Output= 0.011(-0.700/0.700), Volt=10.4(10.1)
GlobalTracer.printPidInfo_Info: [0.542] encoderYPidCtrl: Target=-235.0, Input=  -1.3, Error=-233.7, PIDTerms=-4.675/ 0.000/ 0.001/-0.000, Output=-0.600(-0.600/0.600), Volt=10.4(10.1)
GlobalTracer.printPidInfo_Info: [0.542] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.002/ 0.000/-0.002/ 0.000, Output=-0.003(-0.700/0.700), Volt=10.6(10.1)
GlobalTracer.printPidInfo_Info: [0.586] encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.037/ 0.000/ 0.035/ 0.000, Output= 0.073(-0.700/0.700), Volt=10.4(10.1)
GlobalTracer.printPidInfo_Info: [0.586] encoderYPidCtrl: Target=-235.0, Input=  -1.5, Error=-233.5, PIDTerms=-4.671/ 0.000/ 0.007/-0.000, Output=-0.600(-0.600/0.600), Volt=10.4(10.1)
GlobalTracer.printPidInfo_Info: [0.586] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.003/ 0.000, Output= 0.003(-0.700/0.700), Volt=10.4(10.1)
GlobalTracer.printPidInfo_Info: [0.623] encoderXPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.081/ 0.000/ 0.071/ 0.000, Output= 0.153(-0.700/0.700), Volt=10.3(10.1)
GlobalTracer.printPidInfo_Info: [0.623] encoderYPidCtrl: Target=-235.0, Input=  -1.8, Error=-233.2, PIDTerms=-4.663/ 0.000/ 0.015/-0.000, Output=-0.600(-0.600/0.600), Volt=10.3(10.1)
GlobalTracer.printPidInfo_Info: [0.623] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.000/ 0.000/-0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.664] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.090/ 0.000/ 0.012/ 0.000, Output= 0.102(-0.700/0.700), Volt=10.2(10.1)
GlobalTracer.printPidInfo_Info: [0.664] encoderYPidCtrl: Target=-235.0, Input=  -1.9, Error=-233.1, PIDTerms=-4.662/ 0.000/ 0.002/-0.000, Output=-0.600(-0.600/0.600), Volt=10.2(10.1)
