GlobalTracer.FirstPowerUp_Info: Thu Apr 05 16:22:22 PDT 2018[0.054]: ***** AUTO_MODE *****
GlobalTracer.Vision_Info: Pixy is enabled!
GlobalTracer.FirstPowerUp_Info: _None000 (Blue3) [FMSConnected=true] msg=RRR
GlobalTracer.CmdAutoMoveToCrossField_Info: [0.108] delay=0.0, startPos=LEFT_POS
GlobalTracer.Robot_Info: [0.120] <<< DRIVE_TO_LANE_3>>> xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=12.8(12.8)
GlobalTracer.printPidInfo_Info: [0.120] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.8(12.8)
GlobalTracer.printPidInfo_Info: [0.120] encoderYPidCtrl: Target= 235.0, Input=   0.0, Error= 235.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.600/0.600), Volt=12.8(12.8)
GlobalTracer.printPidInfo_Info: [0.120] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.8(12.8)
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.210s)
GlobalTracer.printPidInfo_Info: [0.207] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=11.4(12.8)
GlobalTracer.printPidInfo_Info: [0.207] encoderYPidCtrl: Target= 235.0, Input=   0.0, Error= 235.0, PIDTerms= 4.700/ 0.000/ 0.000/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.4(12.8)
GlobalTracer.printPidInfo_Info: [0.207] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=11.4(12.8)
GlobalTracer.printPidInfo_Info: [0.244] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=11.1(11.4)
GlobalTracer.printPidInfo_Info: [0.244] encoderYPidCtrl: Target= 235.0, Input=   0.0, Error= 235.0, PIDTerms= 4.700/ 0.000/ 0.000/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.1(11.4)
GlobalTracer.printPidInfo_Info: [0.244] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=11.2(11.4)
GlobalTracer.printPidInfo_Info: [0.287] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.004/ 0.000/-0.005/ 0.000, Output=-0.009(-0.700/0.700), Volt=11.1(11.2)
GlobalTracer.printPidInfo_Info: [0.287] encoderYPidCtrl: Target= 235.0, Input=   0.4, Error= 234.6, PIDTerms= 4.692/ 0.000/-0.013/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.1(11.2)
GlobalTracer.printPidInfo_Info: [0.287] gyroTurnPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.001/ 0.000, Output= 0.001(-0.700/0.700), Volt=11.1(11.2)
GlobalTracer.printPidInfo_Info: [0.332] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.024/ 0.000/-0.028/ 0.000, Output=-0.052(-0.700/0.700), Volt=11.3(11.2)
GlobalTracer.printPidInfo_Info: [0.332] encoderYPidCtrl: Target= 235.0, Input=   1.1, Error= 233.9, PIDTerms= 4.678/ 0.000/-0.025/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.3(11.2)
GlobalTracer.printPidInfo_Info: [0.332] gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.004/ 0.000/ 0.008/ 0.000, Output= 0.012(-0.700/0.700), Volt=11.3(11.2)
GlobalTracer.printPidInfo_Info: [0.371] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.024/ 0.000/ 0.000/ 0.000, Output=-0.024(-0.700/0.700), Volt=11.4(11.2)
GlobalTracer.printPidInfo_Info: [0.371] encoderYPidCtrl: Target= 235.0, Input=   2.6, Error= 232.4, PIDTerms= 4.648/ 0.000/-0.058/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.4(11.2)
GlobalTracer.printPidInfo_Info: [0.371] gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.007/ 0.000/ 0.006/ 0.000, Output= 0.013(-0.700/0.700), Volt=11.4(11.2)
GlobalTracer.printPidInfo_Info: [0.433] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.033/ 0.000/-0.009/ 0.000, Output=-0.042(-0.700/0.700), Volt=11.3(11.2)
GlobalTracer.printPidInfo_Info: [0.433] encoderYPidCtrl: Target= 235.0, Input=   4.2, Error= 230.8, PIDTerms= 4.617/ 0.000/-0.039/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.3(11.2)
GlobalTracer.printPidInfo_Info: [0.433] gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.006/ 0.000/-0.001/ 0.000, Output= 0.005(-0.700/0.700), Volt=11.4(11.2)
GlobalTracer.startCompetition_Warn: AUTO_MODE.runContinuous takes too long (0.049s)
GlobalTracer.printPidInfo_Info: [0.511] encoderXPidCtrl: Target=   0.0, Input=   0.4, Error=  -0.4, PIDTerms=-0.106/ 0.000/-0.054/ 0.000, Output=-0.159(-0.700/0.700), Volt=11.4(11.2)
GlobalTracer.printPidInfo_Info: [0.511] encoderYPidCtrl: Target= 235.0, Input=   6.1, Error= 228.9, PIDTerms= 4.578/ 0.000/-0.036/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.4(11.2)
GlobalTracer.printPidInfo_Info: [0.511] gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.003/ 0.000/-0.003/ 0.000, Output=-0.000(-0.700/0.700), Volt=11.4(11.2)
