GlobalTracer.FirstPowerUp_Info: Fri Apr 06 10:14:57 PDT 2018[0.075]: ***** AUTO_MODE *****
GlobalTracer.Vision_Info: Pixy is enabled!
GlobalTracer.FirstPowerUp_Info: PNCMP_Qualification048 (Red2) [FMSConnected=true] msg=LLL
GlobalTracer.FirstPowerUp_Info: eventName=PNCMP, matchType=Qualification, matchNumber=048
GlobalTracer.CmdAutoMoveToCrossField_Info: [0.135] delay=0.0, startPos=RIGHT_POS
GlobalTracer.Robot_Info: [0.143] <<< DRIVE_TO_LANE_3>>> xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=12.7(12.7)
GlobalTracer.printPidInfo_Info: [0.143] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.7(12.7)
GlobalTracer.printPidInfo_Info: [0.143] encoderYPidCtrl: Target= 235.0, Input=   0.0, Error= 235.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.600/0.600), Volt=12.7(12.7)
GlobalTracer.printPidInfo_Info: [0.143] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.7(12.7)
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.218s)
GlobalTracer.printPidInfo_Info: [0.217] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.6(12.6)
GlobalTracer.printPidInfo_Info: [0.217] encoderYPidCtrl: Target= 235.0, Input=   0.0, Error= 235.0, PIDTerms= 4.700/ 0.000/ 0.000/ 0.000, Output= 0.600(-0.600/0.600), Volt=12.6(12.6)
GlobalTracer.printPidInfo_Info: [0.217] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.6(12.6)
GlobalTracer.printPidInfo_Info: [0.250] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/-0.001/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.7(11.2)
GlobalTracer.printPidInfo_Info: [0.250] encoderYPidCtrl: Target= 235.0, Input=   0.0, Error= 235.0, PIDTerms= 4.700/ 0.000/-0.000/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.7(11.2)
GlobalTracer.printPidInfo_Info: [0.250] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.7(11.2)
GlobalTracer.printPidInfo_Info: [0.283] encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.003/ 0.000/ 0.005/ 0.000, Output= 0.008(-0.700/0.700), Volt=10.8(10.7)
GlobalTracer.printPidInfo_Info: [0.283] encoderYPidCtrl: Target= 235.0, Input=   0.4, Error= 234.6, PIDTerms= 4.691/ 0.000/-0.016/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.8(10.7)
GlobalTracer.printPidInfo_Info: [0.283] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.8(10.7)
GlobalTracer.printPidInfo_Info: [0.318] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.011/ 0.000/-0.025/ 0.000, Output=-0.037(-0.700/0.700), Volt=10.9(10.7)
GlobalTracer.printPidInfo_Info: [0.318] encoderYPidCtrl: Target= 235.0, Input=   1.1, Error= 233.9, PIDTerms= 4.677/ 0.000/-0.032/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.9(10.7)
GlobalTracer.printPidInfo_Info: [0.318] gyroTurnPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.001/ 0.000, Output= 0.001(-0.700/0.700), Volt=11.1(10.7)
GlobalTracer.printPidInfo_Info: [0.353] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.023/ 0.000/-0.023/ 0.000, Output=-0.046(-0.700/0.700), Volt=11.1(10.7)
GlobalTracer.printPidInfo_Info: [0.353] encoderYPidCtrl: Target= 235.0, Input=   1.6, Error= 233.4, PIDTerms= 4.668/ 0.000/-0.024/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.2(10.7)
GlobalTracer.printPidInfo_Info: [0.353] gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.002/ 0.000/ 0.006/ 0.000, Output= 0.008(-0.700/0.700), Volt=11.2(10.7)
GlobalTracer.printPidInfo_Info: [0.380] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.036/ 0.000/-0.023/ 0.000, Output=-0.058(-0.700/0.700), Volt=10.9(10.7)
GlobalTracer.printPidInfo_Info: [0.380] encoderYPidCtrl: Target= 235.0, Input=   3.1, Error= 231.9, PIDTerms= 4.638/ 0.000/-0.067/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.9(10.7)
GlobalTracer.printPidInfo_Info: [0.380] gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.003/ 0.000/ 0.003/ 0.000, Output= 0.006(-0.700/0.700), Volt=10.9(10.7)
GlobalTracer.printPidInfo_Info: [0.414] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.049/ 0.000/-0.027/ 0.000, Output=-0.076(-0.700/0.700), Volt=11.0(10.7)
GlobalTracer.printPidInfo_Info: [0.414] encoderYPidCtrl: Target= 235.0, Input=   4.0, Error= 231.0, PIDTerms= 4.620/ 0.000/-0.047/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.0(10.7)
GlobalTracer.printPidInfo_Info: [0.414] gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.003/ 0.000/ 0.000/ 0.000, Output= 0.003(-0.700/0.700), Volt=11.0(10.7)
GlobalTracer.printPidInfo_Info: [0.442] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.033/ 0.000/ 0.027/ 0.000, Output=-0.006(-0.700/0.700), Volt=11.1(10.7)
GlobalTracer.printPidInfo_Info: [0.442] encoderYPidCtrl: Target= 235.0, Input=   5.1, Error= 229.9, PIDTerms= 4.597/ 0.000/-0.052/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.1(10.7)
GlobalTracer.printPidInfo_Info: [0.442] gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.006/ 0.000/ 0.007/ 0.000, Output= 0.013(-0.700/0.700), Volt=11.1(10.7)
GlobalTracer.printPidInfo_Info: [0.518] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.024/ 0.000/ 0.009/ 0.000, Output=-0.015(-0.700/0.700), Volt=11.2(10.7)
