GlobalTracer.FirstPowerUp_Info: Fri Apr 06 12:03:19 PDT 2018[0.058]: ***** AUTO_MODE *****
GlobalTracer.Vision_Info: Pixy is enabled!
GlobalTracer.FirstPowerUp_Info: PNCMP_Qualification063 (Blue2) [FMSConnected=true] msg=LLL
GlobalTracer.FirstPowerUp_Info: eventName=PNCMP, matchType=Qualification, matchNumber=063
GlobalTracer.CmdAutoMoveToCrossField_Info: [0.126] delay=0.0, startPos=RIGHT_POS
GlobalTracer.Robot_Info: [0.147] <<< DRIVE_TO_LANE_3>>> xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=12.7(12.6)
GlobalTracer.printPidInfo_Info: [0.147] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.7(12.6)
GlobalTracer.printPidInfo_Info: [0.147] encoderYPidCtrl: Target= 235.0, Input=   0.0, Error= 235.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.600/0.600), Volt=12.6(12.6)
GlobalTracer.printPidInfo_Info: [0.147] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.6(12.6)
GlobalTracer.startCompetition_Warn: AUTO_MODE.runContinuous takes too long (0.059s)
GlobalTracer.startCompetition_Warn: AUTO_MODE.postContinuousTasks take too long (0.068s)
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.302s)
GlobalTracer.printPidInfo_Info: [0.300] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.7(12.6)
GlobalTracer.printPidInfo_Info: [0.300] encoderYPidCtrl: Target= 235.0, Input=   0.0, Error= 235.0, PIDTerms= 4.700/ 0.000/ 0.000/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.7(12.6)
GlobalTracer.printPidInfo_Info: [0.300] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.7(12.6)
GlobalTracer.printPidInfo_Info: [0.341] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.003/ 0.000/-0.001/ 0.000, Output=-0.004(-0.700/0.700), Volt=10.6(10.3)
GlobalTracer.printPidInfo_Info: [0.341] encoderYPidCtrl: Target= 235.0, Input=   0.1, Error= 234.9, PIDTerms= 4.698/ 0.000/-0.001/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.6(10.3)
GlobalTracer.printPidInfo_Info: [0.341] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.6(10.3)
GlobalTracer.printPidInfo_Info: [0.394] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.012/ 0.000/-0.012/ 0.000, Output=-0.024(-0.700/0.700), Volt=10.8(10.3)
GlobalTracer.printPidInfo_Info: [0.394] encoderYPidCtrl: Target= 235.0, Input=   0.6, Error= 234.4, PIDTerms= 4.687/ 0.000/-0.017/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.8(10.3)
GlobalTracer.printPidInfo_Info: [0.394] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/-0.002/ 0.000, Output=-0.003(-0.700/0.700), Volt=10.8(10.3)
GlobalTracer.printPidInfo_Info: [0.445] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.049/ 0.000/-0.043/ 0.000, Output=-0.093(-0.700/0.700), Volt=10.6(10.3)
GlobalTracer.printPidInfo_Info: [0.445] encoderYPidCtrl: Target= 235.0, Input=   1.6, Error= 233.4, PIDTerms= 4.668/ 0.000/-0.028/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.6(10.3)
GlobalTracer.printPidInfo_Info: [0.445] gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.004/ 0.000/ 0.009/ 0.000, Output= 0.013(-0.700/0.700), Volt=10.6(10.3)
GlobalTracer.printPidInfo_Info: [0.503] encoderXPidCtrl: Target=   0.0, Input=   0.3, Error=  -0.3, PIDTerms=-0.082/ 0.000/-0.034/ 0.000, Output=-0.116(-0.700/0.700), Volt=10.7(10.3)
GlobalTracer.printPidInfo_Info: [0.503] encoderYPidCtrl: Target= 235.0, Input=   3.6, Error= 231.4, PIDTerms= 4.628/ 0.000/-0.051/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.5(10.3)
GlobalTracer.printPidInfo_Info: [0.503] gyroTurnPidCtrl: Target=   0.0, Input=  -0.6, Error=   0.6, PIDTerms= 0.012/ 0.000/ 0.012/ 0.000, Output= 0.024(-0.700/0.700), Volt=10.5(10.3)
GlobalTracer.printPidInfo_Info: [0.559] encoderXPidCtrl: Target=   0.0, Input=   0.3, Error=  -0.3, PIDTerms=-0.069/ 0.000/ 0.014/ 0.000, Output=-0.055(-0.700/0.700), Volt=10.7(10.3)
GlobalTracer.printPidInfo_Info: [0.559] encoderYPidCtrl: Target= 235.0, Input=   5.3, Error= 229.7, PIDTerms= 4.593/ 0.000/-0.047/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.7(10.3)
GlobalTracer.printPidInfo_Info: [0.559] gyroTurnPidCtrl: Target=   0.0, Input=  -1.0, Error=   1.0, PIDTerms= 0.020/ 0.000/ 0.012/ 0.000, Output= 0.031(-0.700/0.700), Volt=10.7(10.3)
GlobalTracer.printPidInfo_Info: [0.602] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.055/ 0.000/ 0.018/ 0.000, Output=-0.037(-0.700/0.700), Volt=10.9(10.3)
GlobalTracer.printPidInfo_Info: [0.602] encoderYPidCtrl: Target= 235.0, Input=   7.4, Error= 227.6, PIDTerms= 4.551/ 0.000/-0.071/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.9(10.3)
GlobalTracer.printPidInfo_Info: [0.602] gyroTurnPidCtrl: Target=   0.0, Input=  -1.1, Error=   1.1, PIDTerms= 0.022/ 0.000/ 0.004/ 0.000, Output= 0.026(-0.700/0.700), Volt=10.9(10.3)
GlobalTracer.printPidInfo_Info: [0.644] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.050/ 0.000/ 0.007/ 0.000, Output=-0.043(-0.700/0.700), Volt=10.9(10.3)
GlobalTracer.printPidInfo_Info: [0.644] encoderYPidCtrl: Target= 235.0, Input=   9.1, Error= 225.9, PIDTerms= 4.518/ 0.000/-0.058/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.9(10.3)
GlobalTracer.printPidInfo_Info: [0.644] gyroTurnPidCtrl: Target=   0.0, Input=  -1.2, Error=   1.2, PIDTerms= 0.024/ 0.000/ 0.004/ 0.000, Output= 0.027(-0.700/0.700), Volt=10.9(10.3)
GlobalTracer.printPidInfo_Info: [0.682] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.055/ 0.000/-0.007/ 0.000, Output=-0.061(-0.700/0.700), Volt=11.0(10.3)
GlobalTracer.printPidInfo_Info: [0.682] encoderYPidCtrl: Target= 235.0, Input=  10.9, Error= 224.1, PIDTerms= 4.482/ 0.000/-0.068/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.1(10.3)
GlobalTracer.printPidInfo_Info: [0.682] gyroTurnPidCtrl: Target=   0.0, Input=  -1.2, Error=   1.2, PIDTerms= 0.023/ 0.000/-0.001/ 0.000, Output= 0.022(-0.700/0.700), Volt=11.1(10.3)
GlobalTracer.printPidInfo_Info: [0.732] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.055/ 0.000/ 0.000/ 0.000, Output=-0.055(-0.700/0.700), Volt=11.1(10.3)
GlobalTracer.printPidInfo_Info: [0.732] encoderYPidCtrl: Target= 235.0, Input=  12.9, Error= 222.1, PIDTerms= 4.443/ 0.000/-0.066/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.1(10.3)
GlobalTracer.printPidInfo_Info: [0.732] gyroTurnPidCtrl: Target=   0.0, Input=  -1.1, Error=   1.1, PIDTerms= 0.023/ 0.000/-0.000/ 0.000, Output= 0.023(-0.700/0.700), Volt=11.1(10.3)
GlobalTracer.printPidInfo_Info: [0.779] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.057/ 0.000/-0.004/ 0.000, Output=-0.061(-0.700/0.700), Volt=11.2(10.3)
GlobalTracer.printPidInfo_Info: [0.779] encoderYPidCtrl: Target= 235.0, Input=  15.0, Error= 220.0, PIDTerms= 4.400/ 0.000/-0.075/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.2(10.3)
GlobalTracer.printPidInfo_Info: [0.779] gyroTurnPidCtrl: Target=   0.0, Input=  -1.1, Error=   1.1, PIDTerms= 0.023/ 0.000/-0.000/ 0.000, Output= 0.022(-0.700/0.700), Volt=11.2(10.3)
GlobalTracer.printPidInfo_Info: [0.822] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.020/ 0.000/ 0.043/ 0.000, Output= 0.023(-0.700/0.700), Volt=11.2(10.3)
GlobalTracer.printPidInfo_Info: [0.822] encoderYPidCtrl: Target= 235.0, Input=  18.1, Error= 216.9, PIDTerms= 4.339/ 0.000/-0.088/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.2(10.3)
GlobalTracer.printPidInfo_Info: [0.822] gyroTurnPidCtrl: Target=   0.0, Input=  -1.0, Error=   1.0, PIDTerms= 0.021/ 0.000/-0.004/ 0.000, Output= 0.017(-0.700/0.700), Volt=11.2(10.3)
GlobalTracer.printPidInfo_Info: [0.853] encoderXPidCtrl: Target=   0.0, Input=   0.3, Error=  -0.3, PIDTerms=-0.064/ 0.000/-0.095/ 0.000, Output=-0.159(-0.700/0.700), Volt=11.2(10.3)
GlobalTracer.printPidInfo_Info: [0.853] encoderYPidCtrl: Target= 235.0, Input=  20.7, Error= 214.3, PIDTerms= 4.285/ 0.000/-0.145/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.2(10.3)
GlobalTracer.printPidInfo_Info: [0.853] gyroTurnPidCtrl: Target=   0.0, Input=  -0.9, Error=   0.9, PIDTerms= 0.019/ 0.000/-0.006/ 0.000, Output= 0.013(-0.700/0.700), Volt=11.2(10.3)
GlobalTracer.printPidInfo_Info: [0.878] encoderXPidCtrl: Target=   0.0, Input=   0.3, Error=  -0.3, PIDTerms=-0.063/ 0.000/ 0.002/ 0.000, Output=-0.061(-0.700/0.700), Volt=11.2(10.3)
GlobalTracer.printPidInfo_Info: [0.878] encoderYPidCtrl: Target= 235.0, Input=  21.9, Error= 213.1, PIDTerms= 4.262/ 0.000/-0.059/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.2(10.3)
GlobalTracer.printPidInfo_Info: [0.878] gyroTurnPidCtrl: Target=   0.0, Input=  -0.8, Error=   0.8, PIDTerms= 0.016/ 0.000/-0.008/ 0.000, Output= 0.009(-0.700/0.700), Volt=11.2(10.3)
GlobalTracer.printPidInfo_Info: [0.903] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.059/ 0.000/ 0.010/ 0.000, Output=-0.048(-0.700/0.700), Volt=11.3(10.3)
GlobalTracer.printPidInfo_Info: [0.903] encoderYPidCtrl: Target= 235.0, Input=  23.8, Error= 211.2, PIDTerms= 4.224/ 0.000/-0.110/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.3(10.3)
GlobalTracer.printPidInfo_Info: [0.903] gyroTurnPidCtrl: Target=   0.0, Input=  -0.7, Error=   0.7, PIDTerms= 0.015/ 0.000/-0.005/ 0.000, Output= 0.010(-0.700/0.700), Volt=11.3(10.3)
GlobalTracer.printPidInfo_Info: [0.935] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.045/ 0.000/ 0.030/ 0.000, Output=-0.015(-0.700/0.700), Volt=11.4(10.3)
GlobalTracer.printPidInfo_Info: [0.935] encoderYPidCtrl: Target= 235.0, Input=  25.7, Error= 209.3, PIDTerms= 4.186/ 0.000/-0.104/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.4(10.3)
GlobalTracer.printPidInfo_Info: [0.935] gyroTurnPidCtrl: Target=   0.0, Input=  -0.6, Error=   0.6, PIDTerms= 0.013/ 0.000/-0.006/ 0.000, Output= 0.006(-0.700/0.700), Volt=11.4(10.3)
GlobalTracer.printPidInfo_Info: [0.960] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.043/ 0.000/ 0.005/ 0.000, Output=-0.038(-0.700/0.700), Volt=11.3(10.3)
GlobalTracer.printPidInfo_Info: [0.960] encoderYPidCtrl: Target= 235.0, Input=  27.0, Error= 208.0, PIDTerms= 4.161/ 0.000/-0.069/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.3(10.3)
GlobalTracer.printPidInfo_Info: [0.960] gyroTurnPidCtrl: Target=   0.0, Input=  -0.6, Error=   0.6, PIDTerms= 0.011/ 0.000/-0.005/ 0.000, Output= 0.006(-0.700/0.700), Volt=11.3(10.3)
GlobalTracer.printPidInfo_Info: [0.985] encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.007/ 0.000/ 0.121/ 0.000, Output= 0.128(-0.700/0.700), Volt=11.5(10.3)
