GlobalTracer.FirstPowerUp_Info: Sat Apr 07 10:20:12 PDT 2018[0.088]: ***** AUTO_MODE *****
GlobalTracer.Vision_Info: Pixy is enabled!
GlobalTracer.FirstPowerUp_Info: PNCMP_Qualification118 (Red3) [FMSConnected=true] msg=RRR
GlobalTracer.CmdAutoMoveToCrossField_Info: [0.136] delay=0.0, startPos=LEFT_POS
GlobalTracer.Robot_Info: [0.150] <<< DRIVE_TO_LANE_3>>> xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=13.0(13.0)
GlobalTracer.printPidInfo_Info: [0.150] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=13.0(13.0)
GlobalTracer.printPidInfo_Info: [0.150] encoderYPidCtrl: Target= 235.0, Input=   0.0, Error= 235.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.600/0.600), Volt=13.0(13.0)
GlobalTracer.printPidInfo_Info: [0.150] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=13.0(13.0)
GlobalTracer.startCompetition_Warn: AUTO_MODE.runContinuous takes too long (0.043s)
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.244s)
GlobalTracer.printPidInfo_Info: [0.244] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.8(13.0)
GlobalTracer.printPidInfo_Info: [0.244] encoderYPidCtrl: Target= 235.0, Input=   0.0, Error= 235.0, PIDTerms= 4.700/ 0.000/ 0.000/ 0.000, Output= 0.600(-0.600/0.600), Volt=12.8(13.0)
GlobalTracer.printPidInfo_Info: [0.244] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.7(13.0)
GlobalTracer.printPidInfo_Info: [0.289] encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.001/ 0.000/ 0.000/ 0.000, Output= 0.001(-0.700/0.700), Volt=10.6(10.7)
GlobalTracer.printPidInfo_Info: [0.289] encoderYPidCtrl: Target= 235.0, Input=  -0.0, Error= 235.0, PIDTerms= 4.700/ 0.000/ 0.000/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.6(10.7)
GlobalTracer.printPidInfo_Info: [0.289] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.6(10.7)
GlobalTracer.printPidInfo_Info: [0.334] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.010/ 0.000/-0.012/ 0.000, Output=-0.022(-0.700/0.700), Volt=11.0(10.6)
GlobalTracer.printPidInfo_Info: [0.334] encoderYPidCtrl: Target= 235.0, Input=   0.5, Error= 234.5, PIDTerms= 4.689/ 0.000/-0.016/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.0(10.6)
GlobalTracer.printPidInfo_Info: [0.334] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/-0.002/ 0.000, Output=-0.003(-0.700/0.700), Volt=11.0(10.6)
GlobalTracer.printPidInfo_Info: [0.376] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.040/ 0.000/-0.043/ 0.000, Output=-0.083(-0.700/0.700), Volt=11.0(10.6)
GlobalTracer.printPidInfo_Info: [0.376] encoderYPidCtrl: Target= 235.0, Input=   1.4, Error= 233.6, PIDTerms= 4.672/ 0.000/-0.030/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.8(10.6)
GlobalTracer.printPidInfo_Info: [0.376] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.002/ 0.000, Output= 0.002(-0.700/0.700), Volt=10.8(10.6)
GlobalTracer.printPidInfo_Info: [0.418] encoderXPidCtrl: Target=   0.0, Input=   0.3, Error=  -0.3, PIDTerms=-0.080/ 0.000/-0.058/ 0.000, Output=-0.138(-0.700/0.700), Volt=10.9(10.6)
GlobalTracer.printPidInfo_Info: [0.418] encoderYPidCtrl: Target= 235.0, Input=   2.6, Error= 232.4, PIDTerms= 4.647/ 0.000/-0.045/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.9(10.6)
GlobalTracer.printPidInfo_Info: [0.418] gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.001/ 0.000/ 0.002/ 0.000, Output= 0.003(-0.700/0.700), Volt=10.8(10.6)
GlobalTracer.printPidInfo_Info: [0.460] encoderXPidCtrl: Target=   0.0, Input=   0.5, Error=  -0.5, PIDTerms=-0.124/ 0.000/-0.062/ 0.000, Output=-0.187(-0.700/0.700), Volt=10.8(10.6)
GlobalTracer.printPidInfo_Info: [0.460] encoderYPidCtrl: Target= 235.0, Input=   4.0, Error= 231.0, PIDTerms= 4.619/ 0.000/-0.049/ 0.000, Output= 0.600(-0.600/0.600), Volt=10.8(10.6)
GlobalTracer.printPidInfo_Info: [0.460] gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.007/ 0.000/ 0.012/ 0.000, Output= 0.019(-0.700/0.700), Volt=10.8(10.6)
GlobalTracer.printPidInfo_Info: [0.506] encoderXPidCtrl: Target=   0.0, Input=   0.4, Error=  -0.4, PIDTerms=-0.107/ 0.000/ 0.025/ 0.000, Output=-0.083(-0.700/0.700), Volt=10.7(10.6)
GlobalTracer.printPidInfo_Info: [0.506] encoderYPidCtrl: Target= 235.0, Input=   5.5, Error= 229.5, PIDTerms= 4.591/ 0.000/-0.052/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.0(10.6)
GlobalTracer.printPidInfo_Info: [0.506] gyroTurnPidCtrl: Target=   0.0, Input=  -0.6, Error=   0.6, PIDTerms= 0.011/ 0.000/ 0.009/ 0.000, Output= 0.021(-0.700/0.700), Volt=11.0(10.6)
GlobalTracer.printPidInfo_Info: [0.548] encoderXPidCtrl: Target=   0.0, Input=   0.3, Error=  -0.3, PIDTerms=-0.081/ 0.000/ 0.037/ 0.000, Output=-0.044(-0.700/0.700), Volt=11.0(10.6)
GlobalTracer.printPidInfo_Info: [0.548] encoderYPidCtrl: Target= 235.0, Input=   7.2, Error= 227.8, PIDTerms= 4.556/ 0.000/-0.063/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.0(10.6)
GlobalTracer.printPidInfo_Info: [0.548] gyroTurnPidCtrl: Target=   0.0, Input=  -0.6, Error=   0.6, PIDTerms= 0.011/ 0.000/-0.000/ 0.000, Output= 0.011(-0.700/0.700), Volt=11.1(10.6)
GlobalTracer.printPidInfo_Info: [0.588] encoderXPidCtrl: Target=   0.0, Input=   0.3, Error=  -0.3, PIDTerms=-0.078/ 0.000/ 0.005/ 0.000, Output=-0.073(-0.700/0.700), Volt=11.1(10.6)
GlobalTracer.printPidInfo_Info: [0.588] encoderYPidCtrl: Target= 235.0, Input=   8.8, Error= 226.2, PIDTerms= 4.523/ 0.000/-0.060/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.1(10.6)
GlobalTracer.printPidInfo_Info: [0.588] gyroTurnPidCtrl: Target=   0.0, Input=  -0.5, Error=   0.5, PIDTerms= 0.011/ 0.000/-0.000/ 0.000, Output= 0.010(-0.700/0.700), Volt=11.1(10.6)
GlobalTracer.printPidInfo_Info: [0.624] encoderXPidCtrl: Target=   0.0, Input=   0.3, Error=  -0.3, PIDTerms=-0.067/ 0.000/ 0.016/ 0.000, Output=-0.051(-0.700/0.700), Volt=11.1(10.6)
GlobalTracer.printPidInfo_Info: [0.624] encoderYPidCtrl: Target= 235.0, Input=  10.7, Error= 224.3, PIDTerms= 4.487/ 0.000/-0.068/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.3(10.6)
GlobalTracer.printPidInfo_Info: [0.624] gyroTurnPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.009/ 0.000/-0.005/ 0.000, Output= 0.004(-0.700/0.700), Volt=11.3(10.6)
GlobalTracer.printPidInfo_Info: [0.668] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.057/ 0.000/ 0.015/ 0.000, Output=-0.042(-0.700/0.700), Volt=11.2(10.6)
GlobalTracer.printPidInfo_Info: [0.668] encoderYPidCtrl: Target= 235.0, Input=  12.6, Error= 222.4, PIDTerms= 4.449/ 0.000/-0.074/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.2(10.6)
GlobalTracer.printPidInfo_Info: [0.668] gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.005/ 0.000/-0.008/ 0.000, Output=-0.003(-0.700/0.700), Volt=11.2(10.6)
GlobalTracer.printPidInfo_Info: [0.708] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.048/ 0.000/ 0.015/ 0.000, Output=-0.032(-0.700/0.700), Volt=11.4(10.6)
GlobalTracer.printPidInfo_Info: [0.708] encoderYPidCtrl: Target= 235.0, Input=  14.6, Error= 220.4, PIDTerms= 4.408/ 0.000/-0.079/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.4(10.6)
GlobalTracer.printPidInfo_Info: [0.708] gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.003/ 0.000/-0.005/ 0.000, Output=-0.002(-0.700/0.700), Volt=11.4(10.6)
GlobalTracer.printPidInfo_Info: [0.747] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.037/ 0.000/ 0.016/ 0.000, Output=-0.020(-0.700/0.700), Volt=11.4(10.6)
GlobalTracer.printPidInfo_Info: [0.747] encoderYPidCtrl: Target= 235.0, Input=  16.8, Error= 218.2, PIDTerms= 4.364/ 0.000/-0.080/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.4(10.6)
GlobalTracer.printPidInfo_Info: [0.747] gyroTurnPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/-0.006/ 0.000, Output=-0.005(-0.700/0.700), Volt=11.4(10.6)
GlobalTracer.printPidInfo_Info: [0.792] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.033/ 0.000/ 0.006/ 0.000, Output=-0.027(-0.700/0.700), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [0.792] encoderYPidCtrl: Target= 235.0, Input=  19.0, Error= 216.0, PIDTerms= 4.319/ 0.000/-0.087/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [0.792] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.003/ 0.000/-0.006/ 0.000, Output=-0.009(-0.700/0.700), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [0.819] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.030/ 0.000/ 0.004/ 0.000, Output=-0.026(-0.700/0.700), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [0.819] encoderYPidCtrl: Target= 235.0, Input=  21.4, Error= 213.6, PIDTerms= 4.272/ 0.000/-0.093/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [0.819] gyroTurnPidCtrl: Target=   0.0, Input=   0.3, Error=  -0.3, PIDTerms=-0.005/ 0.000/-0.006/ 0.000, Output=-0.012(-0.700/0.700), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [0.860] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.030/ 0.000/ 0.000/ 0.000, Output=-0.030(-0.700/0.700), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [0.860] encoderYPidCtrl: Target= 235.0, Input=  23.2, Error= 211.8, PIDTerms= 4.236/ 0.000/-0.066/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [0.860] gyroTurnPidCtrl: Target=   0.0, Input=   0.4, Error=  -0.4, PIDTerms=-0.008/ 0.000/-0.005/ 0.000, Output=-0.012(-0.700/0.700), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [0.901] encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.019/ 0.000/ 0.070/ 0.000, Output= 0.089(-0.700/0.700), Volt=11.6(10.6)
GlobalTracer.printPidInfo_Info: [0.901] encoderYPidCtrl: Target= 235.0, Input=  26.1, Error= 208.9, PIDTerms= 4.179/ 0.000/-0.103/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [0.901] gyroTurnPidCtrl: Target=   0.0, Input=   0.5, Error=  -0.5, PIDTerms=-0.009/ 0.000/-0.004/ 0.000, Output=-0.013(-0.700/0.700), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [0.947] encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.017/ 0.000/-0.002/ 0.000, Output= 0.015(-0.700/0.700), Volt=11.4(10.6)
GlobalTracer.printPidInfo_Info: [0.947] encoderYPidCtrl: Target= 235.0, Input=  28.7, Error= 206.3, PIDTerms= 4.127/ 0.000/-0.094/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.4(10.6)
GlobalTracer.printPidInfo_Info: [0.947] gyroTurnPidCtrl: Target=   0.0, Input=   0.5, Error=  -0.5, PIDTerms=-0.010/ 0.000/-0.000/ 0.000, Output=-0.010(-0.700/0.700), Volt=11.6(10.6)
GlobalTracer.printPidInfo_Info: [0.987] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.040/ 0.000/-0.087/ 0.000, Output=-0.127(-0.700/0.700), Volt=11.6(10.6)
GlobalTracer.printPidInfo_Info: [0.987] encoderYPidCtrl: Target= 235.0, Input=  31.7, Error= 203.3, PIDTerms= 4.067/ 0.000/-0.115/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [0.987] gyroTurnPidCtrl: Target=   0.0, Input=   0.5, Error=  -0.5, PIDTerms=-0.010/ 0.000/-0.000/ 0.000, Output=-0.010(-0.700/0.700), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.027] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.050/ 0.000/-0.016/ 0.000, Output=-0.066(-0.700/0.700), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [1.027] encoderYPidCtrl: Target= 235.0, Input=  34.4, Error= 200.6, PIDTerms= 4.011/ 0.000/-0.105/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.5(10.6)
GlobalTracer.printPidInfo_Info: [1.027] gyroTurnPidCtrl: Target=   0.0, Input=   0.5, Error=  -0.5, PIDTerms=-0.010/ 0.000/-0.000/ 0.000, Output=-0.010(-0.700/0.700), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.069] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.041/ 0.000/ 0.013/ 0.000, Output=-0.028(-0.700/0.700), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.069] encoderYPidCtrl: Target= 235.0, Input=  37.3, Error= 197.7, PIDTerms= 3.954/ 0.000/-0.103/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.069] gyroTurnPidCtrl: Target=   0.0, Input=   0.4, Error=  -0.4, PIDTerms=-0.009/ 0.000/ 0.003/ 0.000, Output=-0.006(-0.700/0.700), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.107] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.032/ 0.000/ 0.015/ 0.000, Output=-0.017(-0.700/0.700), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.107] encoderYPidCtrl: Target= 235.0, Input=  40.2, Error= 194.8, PIDTerms= 3.896/ 0.000/-0.114/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.107] gyroTurnPidCtrl: Target=   0.0, Input=   0.4, Error=  -0.4, PIDTerms=-0.009/ 0.000/ 0.000/ 0.000, Output=-0.009(-0.700/0.700), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.141] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.030/ 0.000/ 0.003/ 0.000, Output=-0.028(-0.700/0.700), Volt=11.8(10.6)
GlobalTracer.printPidInfo_Info: [1.141] encoderYPidCtrl: Target= 235.0, Input=  43.2, Error= 191.8, PIDTerms= 3.837/ 0.000/-0.115/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.8(10.6)
GlobalTracer.printPidInfo_Info: [1.141] gyroTurnPidCtrl: Target=   0.0, Input=   0.5, Error=  -0.5, PIDTerms=-0.009/ 0.000/-0.001/ 0.000, Output=-0.011(-0.700/0.700), Volt=11.8(10.6)
GlobalTracer.printPidInfo_Info: [1.190] encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.024/ 0.000/ 0.075/ 0.000, Output= 0.098(-0.700/0.700), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.190] encoderYPidCtrl: Target= 235.0, Input=  45.8, Error= 189.2, PIDTerms= 3.784/ 0.000/-0.092/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.190] gyroTurnPidCtrl: Target=   0.0, Input=   0.6, Error=  -0.6, PIDTerms=-0.011/ 0.000/-0.004/ 0.000, Output=-0.015(-0.700/0.700), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.223] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.030/ 0.000/-0.081/ 0.000, Output=-0.110(-0.700/0.700), Volt=11.8(10.6)
GlobalTracer.printPidInfo_Info: [1.223] encoderYPidCtrl: Target= 235.0, Input=  49.2, Error= 185.8, PIDTerms= 3.716/ 0.000/-0.129/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.8(10.6)
GlobalTracer.printPidInfo_Info: [1.223] gyroTurnPidCtrl: Target=   0.0, Input=   0.6, Error=  -0.6, PIDTerms=-0.013/ 0.000/-0.003/ 0.000, Output=-0.016(-0.700/0.700), Volt=11.8(10.6)
GlobalTracer.printPidInfo_Info: [1.264] encoderXPidCtrl: Target=   0.0, Input=   0.2, Error=  -0.2, PIDTerms=-0.041/ 0.000/-0.017/ 0.000, Output=-0.058(-0.700/0.700), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.264] encoderYPidCtrl: Target= 235.0, Input=  52.3, Error= 182.7, PIDTerms= 3.654/ 0.000/-0.114/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.264] gyroTurnPidCtrl: Target=   0.0, Input=   0.6, Error=  -0.6, PIDTerms=-0.013/ 0.000/-0.001/ 0.000, Output=-0.014(-0.700/0.700), Volt=11.7(10.6)
GlobalTracer.printPidInfo_Info: [1.304] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.028/ 0.000/ 0.020/ 0.000, Output=-0.008(-0.700/0.700), Volt=11.8(10.6)
GlobalTracer.printPidInfo_Info: [1.304] encoderYPidCtrl: Target= 235.0, Input=  55.4, Error= 179.6, PIDTerms= 3.591/ 0.000/-0.118/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.8(10.6)
GlobalTracer.printPidInfo_Info: [1.304] gyroTurnPidCtrl: Target=   0.0, Input=   0.7, Error=  -0.7, PIDTerms=-0.013/ 0.000/-0.000/ 0.000, Output=-0.014(-0.700/0.700), Volt=11.8(10.6)
GlobalTracer.printPidInfo_Info: [1.359] encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.017/ 0.000/ 0.012/ 0.000, Output=-0.006(-0.700/0.700), Volt=11.9(10.6)
GlobalTracer.printPidInfo_Info: [1.359] encoderYPidCtrl: Target= 235.0, Input=  58.7, Error= 176.3, PIDTerms= 3.527/ 0.000/-0.093/ 0.000, Output= 0.600(-0.600/0.600), Volt=11.9(10.6)
GlobalTracer.printPidInfo_Info: [1.359] gyroTurnPidCtrl: Target=   0.0, Input=   0.7, Error=  -0.7, PIDTerms=-0.014/ 0.000/-0.001/ 0.000, Output=-0.015(-0.700/0.700), Volt=11.9(10.6)
